"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","2011","Total","October","Data tabulated by year of occurrence","Final figure, complete","2014","328488",""
"United States of America","2011","Total","November","Data tabulated by year of occurrence","Final figure, complete","2014","321479",""
"United States of America","2011","Total","December","Data tabulated by year of occurrence","Final figure, complete","2014","327320",""
"United States of America","2009","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2012","4130665",""
"United States of America","2009","Total","January","Data tabulated by year of occurrence","Final figure, complete","2012","337980",""
"United States of America","2009","Total","February","Data tabulated by year of occurrence","Final figure, complete","2012","316641",""
"United States of America","2009","Total","March","Data tabulated by year of occurrence","Final figure, complete","2012","347803",""
"United States of America","2009","Total","April","Data tabulated by year of occurrence","Final figure, complete","2012","337272",""
"United States of America","2009","Total","May","Data tabulated by year of occurrence","Final figure, complete","2012","345257",""
"United States of America","2009","Total","June","Data tabulated by year of occurrence","Final figure, complete","2012","346971",""
"United States of America","2009","Total","July","Data tabulated by year of occurrence","Final figure, complete","2012","368450",""
"United States of America","2009","Total","August","Data tabulated by year of occurrence","Final figure, complete","2012","359554",""
"United States of America","2009","Total","September","Data tabulated by year of occurrence","Final figure, complete","2012","361922",""
"United States of America","2009","Total","October","Data tabulated by year of occurrence","Final figure, complete","2012","347625",""
"United States of America","2009","Total","November","Data tabulated by year of occurrence","Final figure, complete","2012","320195",""
"United States of America","2009","Total","December","Data tabulated by year of occurrence","Final figure, complete","2012","340995",""
"United States of America","2008","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2011","4247694",""
"United States of America","2008","Total","January","Data tabulated by year of occurrence","Final figure, complete","2011","356457",""
"United States of America","2008","Total","February","Data tabulated by year of occurrence","Final figure, complete","2011","338521",""
"United States of America","2008","Total","March","Data tabulated by year of occurrence","Final figure, complete","2011","350630",""
"United States of America","2008","Total","April","Data tabulated by year of occurrence","Final figure, complete","2011","346397",""
"United States of America","2008","Total","May","Data tabulated by year of occurrence","Final figure, complete","2011","354886",""
"United States of America","2008","Total","June","Data tabulated by year of occurrence","Final figure, complete","2011","348587",""
"United States of America","2008","Total","July","Data tabulated by year of occurrence","Final figure, complete","2011","375384",""
"United States of America","2008","Total","August","Data tabulated by year of occurrence","Final figure, complete","2011","373333",""
